词语,词频
river,160
cruise,145
night,111
晚上,93
黄浦江,88
夜景,83
很棒,75
shanghai,74
de,70
huangpu,67
景色,58
view,45
游船,44
美丽,37
la,35
great,33
beautiful,32
bund,30
风景,29
must,27
vista,27
nice,27
河流,25
一定,25
evening,24
地方,24
漂亮,24
amazing,22
skyline,22
最好,22
夜晚,22
外滩,22
views,21
lights,21
take,20
灯光,20
看到,20
paseo,20
en,19
乘船,19
不错,18
see,18
rio,18
必须,18
un,18
it,17
is,17
巡游,17
非常,17
di,16
para,16
noche,16
spectacular,16
令人惊叹,16
游轮,16
walk,15
do,15
light,15
繁忙,15
passeio,15
天际线,15
with,14
best,14
夜间,14
夜游,14
city,14
but,14
ride,14
ferry,14
母亲河,14
壮观,13
boat,13
值得,13
way,13
not,13
barco,13
good,12
by,12
vel,12
time,12
el,12
游览,12
时间,12
tour,12
很漂亮,12
不要,12
experience,11
渡轮,11
美景,11
da,11
you,11
from,11
show,10
河上,10
浦江,10
令人,10
worth,10
vale,10
sungai,10
an,9
